STABBR,CIPDESC,median_earnings_4yr,median_debt,median_net_cost,median_roi_5yr,cluster_label,jobs_per_grad,avg_arts_jobs
AK,Drama/Theatre Arts and Stagecraft,,,13096.5,,Accessible Small Markets,1.74,102.86
AK,Film/Video and Photographic Arts,,,10892.0,,Accessible Small Markets,1.74,102.86
AK,Fine and Studio Arts,44569.0,24872.0,12357.0,7497.0,Accessible Small Markets,1.74,102.86
AK,Music,,,13096.5,,Accessible Small Markets,1.74,102.86
AL,"Arts, Entertainment, and Media Management",48020.0,24937.0,16309.5,9625.0,Competitive Mid-Size Markets,0.31,333.33
AL,Dance,51744.0,,20435.0,,Competitive Mid-Size Markets,0.31,333.33
AL,Design and Applied Arts,61077.5,26000.0,22401.0,32096.5,Competitive Mid-Size Markets,0.31,333.33
AL,Drama/Theatre Arts and Stagecraft,38369.5,26000.0,20435.0,775.0,Competitive Mid-Size Markets,0.31,333.33
AL,Film/Video and Photographic Arts,,,15963.5,,Competitive Mid-Size Markets,0.31,333.33
AL,Fine and Studio Arts,39550.0,26000.0,18749.0,12512.0,Competitive Mid-Size Markets,0.31,333.33
AL,Music,41768.0,24837.5,18749.0,15095.0,Competitive Mid-Size Markets,0.31,333.33
AL,"Visual and Performing Arts, General",,,19970.0,,Competitive Mid-Size Markets,0.31,333.33
AL,"Visual and Performing Arts, Other",,,32622.0,,Competitive Mid-Size Markets,0.31,333.33
AR,"Arts, Entertainment, and Media Management",,,22409.0,,Competitive Mid-Size Markets,0.44,300.0
AR,Dance,,,17248.0,,Competitive Mid-Size Markets,0.44,300.0
AR,Design and Applied Arts,47248.0,24720.0,16511.0,21065.0,Competitive Mid-Size Markets,0.44,300.0
AR,Drama/Theatre Arts and Stagecraft,31155.0,26000.0,17784.5,,Competitive Mid-Size Markets,0.44,300.0
AR,Film/Video and Photographic Arts,37140.0,22616.5,20397.0,-3084.0,Competitive Mid-Size Markets,0.44,300.0
AR,Fine and Studio Arts,41853.0,25351.0,16879.5,13563.0,Competitive Mid-Size Markets,0.44,300.0
AR,Music,46399.0,28069.5,16511.0,22356.0,Competitive Mid-Size Markets,0.44,300.0
AR,"Visual and Performing Arts, Other",,,14027.0,,Competitive Mid-Size Markets,0.44,300.0
AZ,"Arts, Entertainment, and Media Management",47821.0,27000.0,22472.0,,Competitive Mid-Size Markets,0.35,557.89
AZ,Dance,38998.5,22004.5,16674.0,24901.0,Competitive Mid-Size Markets,0.35,557.89
AZ,Design and Applied Arts,48764.0,23245.0,15923.0,41688.0,Competitive Mid-Size Markets,0.35,557.89
AZ,Drama/Theatre Arts and Stagecraft,40062.5,22845.5,15820.5,9739.5,Competitive Mid-Size Markets,0.35,557.89
AZ,Film/Video and Photographic Arts,46472.5,20534.0,15172.0,27951.0,Competitive Mid-Size Markets,0.35,557.89
AZ,Fine and Studio Arts,41265.0,21342.5,14562.5,19953.0,Competitive Mid-Size Markets,0.35,557.89
AZ,Music,41610.0,18152.0,16674.0,15035.5,Competitive Mid-Size Markets,0.35,557.89
AZ,"Visual and Performing Arts, General",48350.5,24808.0,22472.0,24864.0,Competitive Mid-Size Markets,0.35,557.89
CA,"Arts, Entertainment, and Media Management",50605.0,32750.0,30378.0,2780.0,Major Arts Markets,0.76,10167.59
CA,"Crafts/Craft Design, Folk Art and Artisanry",,,53909.0,,Major Arts Markets,0.76,10167.59
CA,Dance,44742.5,20500.0,14304.0,10527.5,Major Arts Markets,0.76,10167.59
CA,Design and Applied Arts,57740.0,23705.0,26021.0,38523.0,Major Arts Markets,0.76,10167.59
CA,Drama/Theatre Arts and Stagecraft,41192.0,17235.0,18587.5,17183.0,Major Arts Markets,0.76,10167.59
CA,Film/Video and Photographic Arts,47149.0,21687.0,25866.0,28241.0,Major Arts Markets,0.76,10167.59
CA,Fine and Studio Arts,42886.0,17500.0,20787.0,27860.0,Major Arts Markets,0.76,10167.59
CA,Music,42269.0,22000.0,21241.0,16865.5,Major Arts Markets,0.76,10167.59
CA,"Visual and Performing Arts, General",46567.5,24250.0,28062.0,22454.0,Major Arts Markets,0.76,10167.59
CA,"Visual and Performing Arts, Other",64822.0,20000.0,13644.5,,Major Arts Markets,0.76,10167.59
CO,Dance,,,21279.0,,Competitive Mid-Size Markets,0.44,600.0
CO,Design and Applied Arts,63797.0,29125.0,21279.0,7036.0,Competitive Mid-Size Markets,0.44,600.0
CO,Drama/Theatre Arts and Stagecraft,44479.5,27500.0,17528.0,7299.0,Competitive Mid-Size Markets,0.44,600.0
CO,Film/Video and Photographic Arts,39720.0,20000.0,32363.0,24272.0,Competitive Mid-Size Markets,0.44,600.0
CO,Fine and Studio Arts,41899.5,23250.0,17760.0,20932.0,Competitive Mid-Size Markets,0.44,600.0
CO,Music,39185.5,25595.5,17760.0,14633.0,Competitive Mid-Size Markets,0.44,600.0
CO,"Visual and Performing Arts, General",37628.0,28750.0,15788.0,3477.0,Competitive Mid-Size Markets,0.44,600.0
CO,"Visual and Performing Arts, Other",,,10051.0,,Competitive Mid-Size Markets,0.44,600.0
CT,"Arts, Entertainment, and Media Management",50112.0,27000.0,34028.0,30174.0,Competitive Mid-Size Markets,0.73,718.64
CT,"Crafts/Craft Design, Folk Art and Artisanry",,,10117.0,,Competitive Mid-Size Markets,0.73,718.64
