STABBR,avg_arts_jobs,avg_earnings,avg_debt,avg_cost,avg_compensation,jobs_per_grad,cluster,cluster_label,state_full_name,top_inst_name,control_type,total_arts_headcount,top_inst_net_cost
AK,102.85714285714286,44569.0,24872.0,11624.5,5574.3,1.7433414043583535,1,Accessible Small Markets,Alaska,University of Alaska Anchorage,Public,43.0,15301.0
AL,333.3333333333333,41379.5,25837.5,18796.0,12806.611111111111,0.306654400490647,0,Competitive Mid-Size Markets,Alabama,Auburn University,Public,191.0,24323.0
AR,300.0,41853.0,25376.5,17248.0,8855.0,0.44052863436123346,0,Competitive Mid-Size Markets,Arkansas,University of Arkansas,Public,169.0,18209.0
AZ,557.8947368421053,43469.0,22625.0,16674.0,51310.55000000001,0.35421888053467004,0,Competitive Mid-Size Markets,Arizona,Arizona State University Campus Immersion,Public,651.0,14967.0
CA,10167.586206896553,44858.0,20000.0,22212.0,2735306.1,0.7607052376849134,2,Major Arts Markets,California,California State University-Long Beach,Public,940.0,10440.0
CO,600.0,42053.5,26163.5,17760.0,84988.0,0.4382761139517896,0,Competitive Mid-Size Markets,Colorado,University of Colorado Denver/Anschutz Medical Campus,Public,221.0,11900.0
CT,718.6363636363636,50952.0,25414.0,30177.0,48533.21052631579,0.7258953168044077,0,Competitive Mid-Size Markets,Connecticut,University of Hartford,Private nonprofit,160.0,30282.0
DE,66.0,49145.0,25908.0,14777.0,5425.4,0.5116279069767442,0,Competitive Mid-Size Markets,Delaware,University of Delaware,Public,105.0,17799.0
FL,1958.2142857142858,42090.0,22375.0,25180.0,276436.5,0.35024401461532567,0,Competitive Mid-Size Markets,Florida,Full Sail University,Private for-profit,1770.0,38875.0
GA,1869.1304347826087,38107.0,26354.0,18924.0,101650.6,0.5613004308656483,0,Competitive Mid-Size Markets,Georgia,Savannah College of Art and Design,Private nonprofit,1305.0,49430.0
HI,386.4705882352941,34383.0,22411.0,16774.0,26749.777777777777,2.593762337149625,1,Accessible Small Markets,Hawaii,University of Hawaii at Manoa,Public,94.0,15664.0
IA,302.5,43192.0,26500.0,22601.0,15492.111111111111,0.3080448065173116,0,Competitive Mid-Size Markets,Iowa,University of Iowa,Public,264.0,22531.0
ID,214.0,38581.0,21287.0,14831.0,8273.8,0.44490644490644493,1,Accessible Small Markets,Idaho,Brigham Young University-Idaho,Private nonprofit,217.0,8221.0
IL,1522.962962962963,44095.0,26000.0,18981.5,137305.65,0.3887092810012667,0,Competitive Mid-Size Markets,Illinois,Columbia College Chicago,Private nonprofit,746.0,26598.0
IN,513.75,42838.0,22750.0,19310.0,32793.75,0.3081883623275345,0,Competitive Mid-Size Markets,Indiana,Indiana University-Bloomington,Public,328.0,16264.0
KS,265.0,39280.0,25564.5,22671.0,10756.833333333334,0.38742690058479534,0,Competitive Mid-Size Markets,Kansas,University of Kansas,Public,229.0,18059.0
