state_name,year,arts_employment,STABBR
Alabama,2018,970.0,AL
Alabama,2019,1150.0,AL
Alabama,2020,970.0,AL
Alabama,2021,780.0,AL
Alabama,2022,1130.0,AL
Alaska,2018,190.0,AK
Alaska,2019,180.0,AK
Alaska,2020,130.0,AK
Alaska,2021,80.0,AK
Alaska,2022,140.0,AK
Arizona,2018,2020.0,AZ
Arizona,2019,2230.0,AZ
Arizona,2020,2130.0,AZ
Arizona,2021,1810.0,AZ
Arizona,2022,2410.0,AZ
Arkansas,2018,510.0,AR
Arkansas,2019,470.0,AR
Arkansas,2020,420.0,AR
Arkansas,2021,420.0,AR
Arkansas,2022,580.0,AR
California,2018,48020.0,CA
California,2019,61560.0,CA
California,2020,55360.0,CA
California,2021,51380.0,CA
California,2022,78540.0,CA
Colorado,2018,3210.0,CO
Colorado,2019,3190.0,CO
Colorado,2020,2880.0,CO
Colorado,2021,2340.0,CO
Colorado,2022,3380.0,CO
Connecticut,2018,3600.0,CT
Connecticut,2019,3060.0,CT
Connecticut,2020,3210.0,CT
Connecticut,2021,2920.0,CT
Connecticut,2022,3020.0,CT
Delaware,2018,60.0,DE
Delaware,2019,50.0,DE
Delaware,2020,40.0,DE
Delaware,2021,70.0,DE
Delaware,2022,110.0,DE
Florida,2018,10260.0,FL
Florida,2019,8910.0,FL
Florida,2020,8530.0,FL
Florida,2021,8920.0,FL
Florida,2022,18210.0,FL
Georgia,2018,9360.0,GA
Georgia,2019,9180.0,GA
Georgia,2020,8210.0,GA
Georgia,2021,4840.0,GA
Georgia,2022,11400.0,GA
Hawaii,2018,1230.0,HI
Hawaii,2019,1200.0,HI
Hawaii,2020,1440.0,HI
Hawaii,2021,1110.0,HI
Hawaii,2022,1590.0,HI
Idaho,2018,380.0,ID
Idaho,2019,460.0,ID
Idaho,2020,530.0,ID
Idaho,2021,350.0,ID
Idaho,2022,420.0,ID
Illinois,2018,8480.0,IL
Illinois,2019,9930.0,IL
Illinois,2020,8500.0,IL
Illinois,2021,7950.0,IL
Illinois,2022,6260.0,IL
Indiana,2018,2130.0,IN
Indiana,2019,2530.0,IN
Indiana,2020,2760.0,IN
Indiana,2021,2250.0,IN
Indiana,2022,2660.0,IN
Iowa,2018,1020.0,IA
Iowa,2019,940.0,IA
Iowa,2020,930.0,IA
Iowa,2021,880.0,IA
Iowa,2022,1070.0,IA
Kansas,2018,980.0,KS
Kansas,2019,840.0,KS
Kansas,2020,700.0,KS
Kansas,2021,490.0,KS
Kansas,2022,700.0,KS
Kentucky,2018,940.0,KY
Kentucky,2019,920.0,KY
Kentucky,2020,910.0,KY
Kentucky,2021,1040.0,KY
Kentucky,2022,1080.0,KY
Louisiana,2018,4070.0,LA
Louisiana,2019,4380.0,LA
Louisiana,2020,3240.0,LA
Louisiana,2021,2030.0,LA
Louisiana,2022,2980.0,LA
Maine,2018,230.0,ME
